time,rank,comment
2018-04,LV6,"		朋友家附近，下午茶的小小聚会。两个人都不饿，又逛累了，就进来坐一下。   这家餐厅比较大，人虽然不少，但是一点儿也不会吵呢。   要了两个下午茶套餐，非常的超值，而且每一种出品都不会马虎，火候味道都好，我特别喜欢吃他家的西多士，蜜糖的甜吃了心里甜丝丝的，很开心。    知道了这么好的下午茶场所，一定会经常来！		
"
2018-03,LV6,"		😌看签到痕迹 给我布置了执着的点评任务☺️早餐真的经常去吃，十点开始供应，说它是早午餐比较合适，不少公公婆婆在公园里遛完小鸟，打完太极会到这儿补充能量，顺带唠嗑，早餐时段有天天超值套餐，有多士奶茶，或汤面炒蛋。前几天中午，着实不知道吃啥好，点了一份烧鸭五宝饭，外加每日例汤。烧鸭的味道不错，当然不能够和正宗的港式茶餐厅或经验老道的中式大厨比较。需要吐槽的是👇👇👇一是米饭，完全被烧腊的菜汁浸透，米饭变得又软又湿，一点嚼劲都没有，爱吃有嚼劲的米饭的我，看着这软趴趴的一碟白米，真心泪奔。而是每日例汤，店家这期推广的是椰青雪梨猪骨汤，雪梨切块，但甜度太高，椰青的味道微乎其微，若不是我看见了两块指甲盖般大小的椰子肉，我实在折腾不出椰子在何方。新推出了一些中式碟饭，春季开胃系列，听闻菠萝梅子京都牛肉饭人气最高，下次去尝尝哟，顺祝大家周末愉快👅		
"
2018-03,LV6,"		【纯属个人观点，不喜勿喷】好久没吃大家乐了，这次是路过门口的时候，被一个泰式炒饭➕冬阴功汤的套餐所吸引。在点餐的时候，被告知，该套餐今日已经售罄，这还不是周末，新品这么快就没有，看来试水新品试得不错。说说这款马来口味的米线，汤的味道好特别，喜欢东南亚口味的朋友一定会喜欢		
"
2018-04,LV5,"		每次路过都没机会吃，惦记好久，今天终于吃到了。味道还可以，就是普通的快餐，上餐速度快，服务态度好。叉烧四宝套餐还可以，叉烧味道不错。整点出售的烤鸡很不错，配上现淋的调料，很好吃。肉质鲜嫩，还赠送一大杯可乐。		
"
2018-04,LV7,"		好久没在大家乐吃过饭了，今晚突然想点一只烧春鸡来吃，店员一捧过来时已经闻到阵阵的烧鸡香味了😁，小孩也来时很少吃鸡腿的，今天也忍不住来一只鸡腿，她说怎么这只烧春鸡这么好吃的，证明烧得很好吃👍🏻👍🏻地点…在喜荟城一楼！！		
"
2018-02,LV4,"		布心附近好像是唯一的一家大家樂，再喜薈城一樓最靠近水庫那邊的出口，其實說實話感覺店裡面的裝飾尤其是椅子有點舊了☺️去的時候人很少，因為很少走到這邊來，所以不知道人，當時人少還是一直人都是偏少的☺️偶爾不知道持啥好的時候還是會把大家樂放在待選餐廳的，不過一般進來我都不會店到，好像基本每次都是點湯麵的😄這次的面，說實話我感覺很一般，不知道到底是什麼的問題，就是感覺沒有之前的好吃了，可能不是同家店的緣故吧		
"
2018-04,LV3,"		每次来深圳这边玩都要去附近逛逛，喜荟城是必须会去的，下午没事逛累了就说去吃个下午茶吧！经常去大家乐吃下午茶，位置比较好找，直接走到喜荟城门口就能看到了，口味不错，服务还挺热情的，特别喜欢他们的鸡翼和西多士套餐，特别棒，给个赞！👍👍👍		
"
2017-12,LV7,"		大家乐餐厅（喜荟城店）嘿，我是矫情小姐。总体3星口味2个笑脸环境3个笑脸服务4个笑脸好的赞，差的要更在！这次很失望，下午6点不到点了一个超值套餐19元的肉饼咸蛋饭，但是被告知肉饼好没蒸好，需要等大概30分钟，因此可以给我更换其他套餐....well，我换了一个什么菌焗鸡排饭，等了大概10分钟就来了。首先，饭底是温的，而且米饭很硬，然后和服务员说了一下，答应给我换一份。第二份来了，很烫，那是好事，但是米饭依然是硬的，而且，很咸啊，吃不下口...恰好，隔壁一个妈妈带两个小孩，也是点了这个饭，她一吃，原来米饭是“夹生米”....呵呵。可见，出品检测还是需要改善的。最后，整个饭，我只吃了上面的几块肉...服务，原来周末傍晚的大家乐餐厅很爆满，都是人，服务员全部忙不过来，有点乱。嗯..ps为什么现在没有红豆冰了？桑心(｡ ˇ‸ˇ ｡)		
"
2017-12,LV7,"		位于喜荟城一楼大门口，确实方便周边的人来吃简食，不用来来回回上上下下折腾。他们家没有团购的优惠，正价的套餐基本上都是30以上，包括中国茶和饭菜，也算是价位比较高的简餐消费啦，普通人哪能天天这么吃哈。不过店里会有活动，那就是每天都有限定的产品优惠，基本上属于打6折的样子，每天不同的套餐有折扣，比如芝士焗鸡 叉烧之类的。		
"
2017-12,LV6,"		两个人吃一份这个套餐当下午茶刚刚好两杯柠檬茶+一根粟米棒+一只脆皮烧春鸡这次叫的外卖没有到店体验环境服务感觉外卖的鸡有点缩水之前在店里面吃都是很饱满的一只鸡可能是因为刚出炉的原因吧但是这个送到也是热乎乎的呀确没有那么饱满的脆皮质感了。看来以后还是要到店吃比较好。		
"
