time,rank,comment
"
2018-03,LV6,"		昨晚跟小朋友在一起很开心的一个晚上，虽然等待是比较煎熬的。你没有多优秀，我毕竟也一般。不过你追不上我的脚步我只能做到教会你长大吧。大家都要努力。年前来过呀，一直在装修，今天来总算装修好了。其实蛮喜欢这家的快餐，还挺好吃，很多香港阿伯来消磨时间，啧啧，前面还大聊台独港独问题，哈哈，就是两个地方的人相互看不顺眼。呵呵，希望越来越多的人心里都能去除这个想法。大家乐的奶茶很有港味。原味的。冰块加在杯子外。嗯，很愿意吃饱的一餐。		
"
2018-02,LV7,"		看完电影已经13点了，就在鸿展中心随便吃点吧。看到大家乐场面挺大，就吃它了。😏芝士一哥焗猪扒饭：主推款式，芝士不够多较稀，猪扒也不香，整体一般，刚坐好就端上来了是温的，看来点的人多提前有所准备。饮品选的奶茶还可以；😏明炉烧鸭四宝饭：春哥吃的也说一般，配的饮料选的咖啡☕️居然要加3.5元，我认为咖啡和奶茶是同级别的饮品啊。中午人较多，点好餐把牌子放在桌子上的识别区，凭感应服务员会自己送餐过来，这点挺好的。		
"
2018-02,LV6,"		來東門逛街，肚子餓了😄就去大家樂喝個下午茶☕️下午茶2:30分開始，性價比蠻高的，服務員挺勤快，要是看到有顧客離桌，就會很快過去收拾桌面👍 店裡是新裝修的，所以環境還是不錯的。點了一個 燒雞翼加西多士，外加熱奶茶：雞翼很香嫩，熱奶茶很好喝，入口滑又香。牛扒拼炒蛋 外加熱奶茶，朋友吃的，聽她講 貌似口感還不錯。店裡有 白開水，辣椒醬。看自己需要 去拿吧。		
"
2018-03,LV7,"		晚上要和朋友去练瑜伽，等朋友下班，先吃个饭再去，时间有点紧，说要吃个快的，就选择了大家乐，这家大家乐好像装修过，比以前新了很多，出餐真的很快，下完单不一会儿就送过来了，我吃的香辣茄子肉碎饭还不错，有配中国茶，想换其它饮料也可以，但是要加钱。		
"
2018-03,LV5,"		不错，比较中意饮下午茶。好耐无黎东门呢边，过黎吃返个下午茶，都几好。无吃午饭，直奔大家乐，今次试下个猪扒包，同个雪菜米粉，加杯可乐，一共21。味道几好，个包有点硬，但又有点脆。猪扒味道可以，仲有d洋葱同汁，但旧猪扒冻嘅。雪菜米粉都几好。服务几好。		
"
2018-02,LV5,"		以前在学校午餐都是跑东门解决的…最后就变成了一年一次东门无目的看新鲜…由于停车费贵打算逛一下就走的，然后也不知道干嘛决定在东门吃…选择的一圈就在大众上看到有大家乐鸿展商场负一楼下到去港式茶餐厅、还有星巴克…这是我见到大家乐最简陋的一间…服务员忙到快要发烂渣了…哈哈哈哈……特别是配餐的姑娘😂好可怜咯这家的厨师是香港人不怪得这么多香港人来这里吃叫了一个海南鸡饭、一个焗猪扒饭鸡肉可能是太忙做的一般般…饭还不错焗猪扒是用冰冻猪扒做的、很干味道真的好失水准，反正不好吃、还好底下的饭有番茄鸡蛋汁混的吃完啦……奶茶很赞真的不能在旺区吃快餐、食物快是快但真的只能说填饱肚子吧！		
"
2018-02,LV6,"		真的好久没来东门了🤨人还是这么多 突然发现好久没吃大家乐的下午茶餐东门店的人永远都那么多哈 服务就不做评价了 毕竟人太多 他们也忙不过来说说出品吧点了三份餐那个蜜糖鸡翅 严重缩水 真的瘦的可怜 也没什么蜜糖  我记得以前吃是没有胡椒的 整体出品相对以前来说真的逊色了好多 好失望 不知道是不是只是这家店的问题		
"
2018-04,LV2,"		今天游玩东门，来到了《大家樂》品尝下这里的美食，这家人气还挺旺的，点了份热菠萝套餐，上菜速度还是挺快的    套餐总的来说还是不错的，菠萝包表皮挺酥脆的，环境也还不错，墙上还挂着些老深圳的照片，挺让人回味的！！！		
"
2018-04,LV5,"		地点宝能太古汇南区负一层宝能太古汇现在依旧提供免费的停车服务，分南区和北区，停车场在北区。依旧是过去点了最经典的一哥局猪扒饭，套餐中的饮料换成了港式奶茶没有备注就直接上来热的。然后关注了他们，大家乐的公众号，有一元钱换靓汤的服务。大家乐就是永远不知道去哪里吃，然后就会去的地方		
"
2018-03,LV4,"		大家乐已经是属于不知道该吃什么好又要快又要保证质量的最后一道防线选择了。太古城这家店平时中午来都满位子，晚上来还成。因为不想吃那么多就点了个优惠套餐芝士奶黄汁烩鸡柳饭，就是普通一个盖浇饭，价格全店里最不贵，还成吧，配一杯Chinese tea，茶包泡出。朋友点的咖喱，和烧鸡拼海南鸡饭。咖喱有点辣，肉还蛮多，海南鸡饭的饭也还OK，不过鸡就一般般了。印象中大家乐的装碟没有这么简陋的…是错觉了么……		
"
2018-04,LV3,"		這個品牌眾所皆知、偶然發現菜牌上有推出春雞、便興起應該嚐嚐、肉嫩皮香還帶上一點點油脂、口味真的挺不錯、還有一罐胡椒粉任君揮灑、袋手套抓著吃有一種侵略感😆、搭配檸檬可樂的氣泡、價格定位覺得還行、感覺很滿足！		
"
2018-04,LV3,"		大家乐适合我们家各种口味，可以说是不知道吃什么饭的时候的最佳选择！我只想吃肉，于是有了烤鸡！老公想吃炒菜，于是有炒牛肉！孩子想吃咖喱饭🍛！各取所需吧，蛮好的👍🏻！下次还会再去的！就是唯一感觉里面灯光有点暗。		
"
2018-02,LV6,"		妈妈说很想吃大家乐烧春鸡，于是就去了宝能大家乐😍。叫了一份叉烧拼烧鸭饭配椰青雪梨煲老鸡汤给爸爸，我跟妈妈就吃烧春鸡加一碗米饭，饮料转成生磨杏汁蛋白。这次的烧鸡，好好吃，汁多肉嫩又滑，妈妈吃得很满意，加上她喜欢的杏汁蛋白茶，她说给满分😁。至于叉烧拼烧鸭，这个不是很好，肉较柴，一般般，但爸爸说汤不错。总体来说也不错。		
"
2018-02,LV7,"		这就大家乐位于宝能all city南区负一楼店里位置挺多的 跟其他大家乐装修都差不多有一个大的风水鱼缸 养了挺多金鱼洋葱猪扒饭猪扒有两大块 薄身一些上面淋上酱汁肉质不错 有嚼劲配了的茶包泡的绿茶解渴服务都是先点餐 拿餐牌会有店员送餐出餐速度还可以		
"
2018-01,LV4,"		(⊙_⊙)(⊙_⊙)(⊙_⊙)怎么说捏，点餐的时候感觉特别可口，毕竟图片真的很好看然后端上来，我我真的很期待，毕竟看起来也还不错。吃了第一口没反应过来，吃了第二口，我就错愕了。为啥错愕了呢，那个肉的烹饪方式就是，把肉白煮一下，然后浇上一层有调过味的芡。真的是……失望透顶白饭反而挺正常的。欺负我没吃过吗？香港的要好吃点……		
"
2017-12,LV6,"		地址在中心路宝能太古城花园购物中心南区负一层(地铁海月站B出口)，costa旁边电梯下行右手边即是。「大家乐春鸡」冬日寒风凛冽来一只烧春鸡，非常香脆可口，两只手戴上手套啃，很带感；换了一杯新饮品，不错。春鸡比较大，最好两人食。		
"
2017-12,LV4,"		经常来吃的大家乐 ，品质一直在稳步下降，现在有新品都不敢随便点了，今晚难得来吃一下，试了新品，鳗鱼肉饼石锅饭，真的绝望，上餐后就发现没有鳗鱼，跟服务员说了下，她还不认为有问题，后面拿去厨房后才给我加回一块小鳗鱼 ，真的醉了。最后饭一看一点汁啊什么都没有 真的无法下咽。然后咖喱牛腩大牛腩咬出了口香糖的口感。 真的蛮绝望。		
"
